split,source,gn,es
train,abc,"Itaugua omokyre'ÿ ""omopotî"" Congreso","En Itauguá promueven ""limpiar"" el Congreso"
train,abc,"Omopotîvo hikuái tetãme vicio política, ko'ã itaugüeño he'íva ombotovévo pokarême umi elemento omopotîva.","Con el propósito de limpiar al país de los vicios de la política, los itaugüeños expresan su repudio a los corruptos con elementos de limpieza."
train,abc,Ko'ã 50 tapicha oñembyaty parroquía Virgen del Rosario plazoleta-pe ko distrito oñemanifestávo político pokarême.,Unas 50 personas se encuentran en la plazoleta de la parroquía Virgen del Rosario de este distrito manifestando su repudio hacia los políticos corruptos.
train,abc,"Itaugüeño oipotáva ohechauka ipotîha itáva ha ikatúha paraguayo ikatu omopotî parlamento ha upévare hi'aguî, orekóva yvyra orepasa haguã, trapo de piso, typycha ha lavandina oguahëva plaza parroquial rovái.","Los itaugüeños quieren demostrar que los paraguayos pueden limpiar el parlamento y por eso se acercaron, con palos de repasar, trapos de piso, escobas y lavandina hasta la plaza parroquial."
train,abc,"Opavave tavaygua ojerúre senador Oscar González Daher, toipykúi diputado José Maria Ibañez rape ha toheja cargo oîha.","Personas de todas las edades, pero en su mayoría adultos mayores exigen que los corruptos como el senador Oscar González Daher, sigan el mismo camino del diputado José Maria Ibañez y renuncien a su cargo."
train,abc,Ojerúre hikuái Ejecutivo nota reversal Yasyretã omonéîva Congreso Nacional.,"Además, piden el rechazo del Ejecutivo de las notas reversales de Yacyretá ya aprobadas por el Congreso Nacional."
train,abc,Ko'ã manifestación oñemotenonde plaza parroquial oipe'áva micrófono abierto ha oha'ãrõ oguahëvo pyhare noche.,La manifestación se realiza en la plaza parroquial donde fue habilitado un micrófono abierto y se espera que lleguen más personas conforme avance la noche.
train,abc,Ojeruréta hikuái desafuero,Solicitarán su desafuero
train,abc,Diputado Ulises Quintana (Colorado Añeteté) oime umi 15 imputado pyahu megaoperativo ombotenondéva narcotráfico oikóva Ciudad del Este-pe.,El diputado Ulises Quintana (Colorado Añeteté) figura entre los 15 nuevos imputados en el marco del megaoperativo contra el narcotráfico efectuado días atrás en Ciudad del Este.
train,abc,Fiscal Lorena Ledesma ojeruréta desafuero.,La fiscal Lorena Ledesma solicitará el desafuero para el parlamentario.
train,abc,"Diputado tetã'i Alto Paranáme ojehúva peteî camioneta lujosa, propiedad oimehápe Reinaldo Javier Cabaña, alias Cucho, ko'ágã ka'irãime omyakãva peteî organización omýiva tráfico de drogas ha lavado de dinero Alto Parana gotyo, ho'áva megaoperativo ojoajúva Ministerio Público ha Secretaría Nacional Antidrogas.","El diputado por el departamento de Alto Paraná tenía en su poder una lujosa camioneta, propiedad del ahora detenido Reinaldo Javier Cabaña, alias Cucho, presunto líder de una organización dedicada al tráfico de drogas y el lavado de dinero en el departamento de Alto Paraná, que cayó en un megaoperativo conjunto entre el Ministerio Público y la Secretaría Nacional Antidrogas."
train,abc,"Diputado Quintana he'i mba'yrumýi oguahêva ichupe préstamo ramo ikatuhápe ojogua, he'i Cucho oipytyvõ hahue icampaña proselitista oiporuka ichupe mokõi camioneta.","En su descargo, Quintana dijo que recibió el vehículo como préstamo con opción de compra, pero reconoció que Cucho ayudó a su campaña proselitista prestando otras dos camionetas."
train,abc,Según legislador ndoikuapaiha mba'êpe omba'apo Cucho.,Según el legislador no tenía conocimiento de las actividades de Cucho.
train,abc,"Ojekuaa Ministerio Público omba'apóha oikóvo ha ojeporekáh oikóvo ma'épe omýi ko ty omyakãva Cucho, orekóva protección olítica-gui ha upévagui ogurekóha pytyvõ campaña proselitista oîva upe tendáre.","De acuerdo a la hipótesis del Ministerio Público, las actividades de la organización liderada por Cucho, contaban con protección política a cambio de financiamiento para las campañas proselitistas."
